system,label,n_evaluated,n_positives,precision,recall,f1,f2,mcc,s_score
Gemini Joint,hate_speech,12049,1268,0.44361702127659575,0.32886435331230285,0.3777173913043479,0.3468063872255489,0.3207695070234769,0.5035955703686437
Gemini Joint,toxic,2402,738,0.6461159062885327,0.7100271002710027,0.6765655261459005,0.6962529896359287,0.5244198369477342,0.7292314540548979
Gemini Joint,threat,4112,21,0.14084507042253522,0.47619047619047616,0.2173913043478261,0.3225806451612903,0.252414980860556,0.4743940677957842
Gemini Joint,insult,6514,1188,0.4591304347826087,0.6666666666666666,0.5437693099897013,0.6113941639647985,0.4301352291141903,0.6632308892609469
Gemini Joint,MACRO,12049,3215,0.42242710819256807,0.5454371491101121,0.45386088294694393,0.4942585464968916,0.3819348884864893,0.5926129953700681
Gemini CoT,hate_speech,12049,1268,0.4477124183006536,0.32413249211356465,0.37602927721866425,0.34307178631051755,0.32051294386290174,0.5016641291209842
Gemini CoT,toxic,2402,738,0.6591194968553459,0.7100271002710027,0.6836268754076973,0.6992260475046703,0.5364544568755735,0.7337266379712285
Gemini CoT,threat,4112,21,0.16176470588235295,0.5238095238095238,0.24719101123595508,0.3618421052631579,0.28498982414964735,0.5021685086689908
Gemini CoT,insult,6514,1188,0.4452871072589382,0.6919191919191919,0.5418589321028345,0.6229160351621704,0.4281516459426914,0.668495929066758
Gemini CoT,MACRO,12049,3215,0.4284709320743227,0.5624720770283208,0.4621765239912877,0.506763993560129,0.3925272177077035,0.6015138012069903
