text,48,54
"""Das Ordnungsamt sagt laut Stadt-Pressesprecherin Marit Schulte-Zakotnik zu, Streifen des Außendienstes verstärkt rund um das Haus der Jugend einzusetzen."" Aber bitte in zivil, sonst werden die Täter nur temporär verscheucht, und der Spaziergang des Ordnungsamt-Mitarbeiters ist verschwendetes Steuergeld! Sobald er weg ist, wird weiter gedealt. Die Tarnkappen von Polizei und Ordnungsamt funktionieren nicht wirklich. ",Not Hatespeech,Not Hatespeech
"""schön""...jetzt werden schon 11jährige von Horden verprügelt....mannmannmann...was ist aus Deutschland und Rosenheim geworden.Ich vermeide es inzwischen in die Stadt zu gehen, ganz ehrlich, weil ich diese, mit Verlaub, herumlungernden jugendlichen arabischen Hackfressen mit Einheitsfrisur nicht mehr ertrage genauso wie deren Kopftuchschwestern! ",Hatespeech,Hatespeech
(http://www.replicaairguns.com/posts/2012/7/9/bb-guns-versus-airsoft-guns-pros-cons.html) ,Not Hatespeech,Not Hatespeech
*Gähn*Nur das Pokalfinale wird langweiliger ... ,Not Hatespeech,Not Hatespeech
"A Fahndl im Wind, oder auf deutsch: a Politiker ",Not Hatespeech,Not Hatespeech
"Aber nimmer, wenn Du auch dort bist... ",Not Hatespeech,Not Hatespeech
"Aha, so so.... ",Not Hatespeech,Not Hatespeech
Alles Osteuropäer. ,Hatespeech,Hatespeech
"Auf meiner Party kriegst auch mal eine ab! Für nen guten Zweck opfert sich immer irgendeine, die sonst keinen abkriegt! Dann hast du mal ein Erfolgserlebnis abseits des FCBs! hach, hattest du ja letzte Saison eh nicht ;-) Na dann wirds wirklich Zeit! Dritter Stock, zweite Tür von links, bei Kiss my ass klingeln!  ",Hatespeech,Hatespeech
Ausländische Täter....der Normalfall halt. ,Hatespeech,Hatespeech
Bei sowas sollte die UEFA nach dem Spiel noch eine Sperre aussprechen. Unsportlicher geht kaum... ,Not Hatespeech,Not Hatespeech
Beim Pokern musst du kühl und überlegt vorgehen. MK ist ein ziemlich gute Pokerspieler. Er kam bei mehreren Pokerturnieren ins Preisgeld.Das Pokern von MK ist also im Gegenteil ein sehr gutes Vorzeichen! ,Not Hatespeech,Not Hatespeech
"Dann finde ich es absolut diskriminierend, dass es den Begriff ""Depp"" nur als männliche Form gibt. Also zukünftig ""Deppinnen und Deppen"". Wenn man aber so einen Schwachsinn vom BR liest, dann ist's klar, dass es vielgenug männliche DeppinnenDeppen gibt. ""Vollpfosten"", ""Vollhorst"", ""Hirndübel"" und alle Schimpfwörter für geistig minderbemittelten müssen aber auch unbedingt auch in weibliche Formen transformiert und transportiert werden!!!! ",Hatespeech,Hatespeech
Dann unterlasse das bitte in Zukunft. ,Not Hatespeech,Not Hatespeech
"Das werden die Scouts mit Sicherheit nicht an die TZ melden, wen/wann/wo sie beobachten. ",Not Hatespeech,Not Hatespeech
Dass es Dir nicht langsam selbst zu blöd wird? Jeden Tag dieses dumme Gesabber und Gelaber! ,Hatespeech,Hatespeech
"Die Balten habe ich garnicht erwähnt...die waren auf jeden Fall eifriger, das ist richtig. ",Not Hatespeech,Not Hatespeech
