tweet_id,review_text,hs,m_hs,annotation_id,created_at,updated_at,lead_time,phase,annotator_name,source
1473668644223787008,@TwitterUser Man kann beides nacheinander.,0,0,135,2022-02-18 14:20:50,2022-02-18T14:20:50.560313Z,10.155,2.1,3,gmhp7k
1473996997560614912,@TwitterUser Gibt es Flüge nach Nigeria? 🤔,1,0,134,2022-02-18 14:20:40,2022-02-18T14:20:40.071363Z,13.628,2.1,3,gmhp7k
1472551150134219008,"@TwitterUser Ich finde es auch diskriminierend, dass es keine ""Krankenbrüder"" gibt ✊",0,0,133,2022-02-18 14:20:26,2022-02-18T14:20:26.068413Z,17.113,2.1,3,gmhp7k
hasoc_de_1484,stärkste Kraft in . 🤢🤮  Links-Grün ist out. Grün-links ist in.  Noch mehr Verbote. Noch weniger Wirtschaft.  Vielen dank ihr Vollpfosten...,1,0,132,2022-02-18 14:20:08,2022-02-18T14:20:08.581830Z,13.612,2.1,3,hasoc_2019
1379803982030340096,@TwitterUser Viel Wasser trinken hilft,0,0,131,2022-02-18 14:19:54,2022-02-18T14:19:54.594719Z,4.162,2.1,3,gmhp7k
1480540889055470080,"@TwitterUser sehe ich auch so. wir müssen halt die geostrategien anderer mächte beachten, ob wir es wollen oder nicht und uns in die richtung versuchen abzusichern.",0,0,130,2022-02-18 14:19:49,2022-02-18T14:19:49.779960Z,11.111,2.1,3,gmhp7k
1470832002878299904,"@TwitterUser Ihr benutzt dieses Buch doch als Gebrauchsanweisung. ""Framing Manual"" und so.",0,0,129,2022-02-18 14:19:38,2022-02-18T14:19:38.326086Z,22.701,2.1,3,gmhp7k
1087364685341622016,@TwitterUser Dr. Oetker etzala Dr. Haider?,0,0,128,2022-02-18 14:19:14,2022-02-18T14:19:14.451930Z,6.792,2.1,3,gmhp7k
1476491062558526976,@TwitterUser Wo hast Du das her?,0,0,127,2022-02-18 14:19:07,2022-02-18T14:19:07.167514Z,4.597,2.1,3,gmhp7k
1479135397317950976,"@TwitterUser haha, wäre witzig. mag den yt kanal auch sehr.",0,0,126,2022-02-18 14:19:02,2022-02-18T14:19:02.079945Z,6.641,2.1,3,gmhp7k
1418896300137979904,@TwitterUser Baerziege  trittihn in den Hintern.,1,1,125,2022-02-18 14:18:54,2022-02-18T14:18:54.742726Z,37.286,2.1,3,gmhp7k
1480833043329913088,"@TwitterUser Schön. Der RBB hat gemerkt, dass dieses Thema Klicks bringt. Leider sind die meisten Kommentare unter aller Sau. Das ist natürlich einkalkuliert und dieses Modell ist wenig nachhaltig. Populistischer Dreck.",0,0,124,2022-02-18 14:18:17,2022-02-18T14:18:17.064845Z,14.636,2.1,3,gmhp7k
1473605170537931008,"@TwitterUser Ach so, und das hat man mal eben so ausgewürfelt...",0,0,123,2022-02-18 14:18:01,2022-02-18T14:18:01.948272Z,5.083,2.1,3,gmhp7k
1455280030393769984,@TwitterUser Kohle Kohle Kohle,0,0,122,2022-02-18 14:17:56,2022-02-18T14:17:56.413566Z,6.005,2.1,3,gmhp7k
1473627736237395968,@TwitterUser Vermogen wird bereits jetzt versteuert. Und der Mehrheitswille ist nicht alles.,0,0,120,2022-02-18 14:17:34,2022-02-18T14:17:34.856502Z,8.363,2.1,3,gmhp7k
1432454721697092096,@TwitterUser Wen juckt das. Soll lieber mal einen Arbeitslosigkeitsstreik machen und sich praktische Arbeit suchen.,0,0,119,2022-02-18 14:17:25,2022-02-18T14:17:25.644326Z,18.875,2.1,3,gmhp7k
1121425224677904000,@TwitterUser Dieser scheisz Sexist. Es heißt natürlich Neger*innen*x,1,1,118,2022-02-18 14:17:06,2022-02-18T14:17:06.355342Z,32.106,2.1,3,gmhp7k
1476345619685982212,@TwitterUser trau dich,0,0,117,2022-02-18 14:16:33,2022-02-18T14:16:33.849097Z,16.596,2.1,3,gmhp7k
1477694156415901952,@TwitterUser Das Land der Gender-Studenten weiß das aber nicht 🤷‍♂️,0,0,116,2022-02-18 14:16:16,2022-02-18T14:16:16.875644Z,7.41,2.1,3,gmhp7k
1481199987056857088,"@TwitterUser Leider, Ja leider eine Generation zu spät...",0,0,115,2022-02-18 14:16:08,2022-02-18T14:16:08.601444Z,9.326,2.1,3,gmhp7k
1126076097001677056,Manchen Leuten haben sie echt heftig ins Hirn geschissen (P. H. Allee),1,0,114,2022-02-18 14:15:58,2022-02-18T14:15:58.837160Z,130.515,2.1,3,gmhp7k
1405794057163582976,@TwitterUser Was hast du bisher für die Gesellschaft geleistet??,0,0,113,2022-02-18 14:13:47,2022-02-18T14:13:47.979234Z,3.687,2.1,3,gmhp7k
1479731027643878912,@TwitterUser Ist es nicht.,0,0,112,2022-02-18 14:13:43,2022-02-18T14:13:43.953377Z,5.062,2.1,3,gmhp7k
1125450592061665024,@TwitterUser Was für ein dummes widerliches Arschloch,1,0,111,2022-02-18 14:13:38,2022-02-18T14:13:38.518524Z,13.097,2.1,3,gmhp7k
1439147859786481920,"@TwitterUser Klar, habe bereits CDU gewählt.",0,0,110,2022-02-18 14:13:24,2022-02-18T14:13:24.773398Z,8.362,2.1,3,gmhp7k
1481245516218383872,@TwitterUser Ja. Das könnte eine echte Marktlücke sein.,0,0,109,2022-02-18 14:13:15,2022-02-18T14:13:15.794360Z,8.386,2.1,3,gmhp7k
1127200387507814016,"@TwitterUser Völlig daneben. Genauso daneben ist im Übrigen, dass der @TwitterUser diese Aussage gefällt.",0,0,108,2022-02-18 14:13:06,2022-02-18T14:13:06.328329Z,12.065,2.1,3,gmhp7k
1454793706582728960,@TwitterUser Dann erstattet doch nur die kosten für ein ÖPNV Ticket. Das wäre doch mal ein Anfang.,0,0,107,2022-02-18 14:12:53,2022-02-18T14:12:53.817302Z,91.698,2.1,3,gmhp7k
1480186957380600064,@TwitterUser Lass Dir doch nicht alles gefallen 😁,0,0,102,2022-02-18 14:11:21,2022-02-18T14:11:21.680096Z,3.514,2.1,3,gmhp7k
1476443576762572801,Bin nedemol traurig wenn die Schlampe au abfahrt,1,1,97,2022-02-18 14:10:23,2022-02-18T14:10:23.861900Z,16.023,2.1,3,gmhp7k
1238216995516101120,"@TwitterUser Diese Schwachsinnsaussage, dass das Coronavirus nur eine leichte Grippe auslösen würde kommt doch von euch selbst:",0,0,96,2022-02-18 14:10:07,2022-02-18T14:10:07.491945Z,10.442,2.1,3,gmhp7k
1332361034489860096,"@TwitterUser Wäre natürlich eine naise Sache, aber ich glaube eher die verziehen sich so schnell wie möglich.",0,0,92,2022-02-18 14:09:46,2022-02-18T14:09:46.590088Z,8.366,2.1,3,gmhp7k
1480126358206530048,@TwitterUser So mutig!,0,0,91,2022-02-18 14:09:37,2022-02-18T14:09:37.876994Z,9.495,2.1,3,gmhp7k
1481239357008880128,@TwitterUser Besser ist das,0,0,90,2022-02-18 14:09:27,2022-02-18T14:09:27.390136Z,4.896,2.1,3,gmhp7k
1229713694273217024,@TwitterUser hätte bestimmt gern Analseks mit dem Lard. Ist dann auch eher so als würde man ein großes wassertier vöge…,1,0,89,2022-02-18 14:09:22,2022-02-18T14:09:22.157843Z,34.769,2.1,3,gmhp7k
1130008856757789056,"@TwitterUser Gar nicht,  unsere Politiker sind nur Macht  - und Geldgierig. Das Deutsche Volk interessiert sie nicht im geringsten.",0,0,87,2022-02-18 14:08:46,2022-02-18T14:08:46.413253Z,7.925,2.1,3,gmhp7k
1473644541219639040,@TwitterUser Stimmt. Die Homo-Ehe gibt es zum Beispiel nur in Kulturen mit dem Christentum als Wurzel.,0,0,86,2022-02-18 14:08:38,2022-02-18T14:08:38.106432Z,13.723,2.1,3,gmhp7k
1480842683157463040,@TwitterUser Eine kindische Aktion.,0,0,84,2022-02-18 14:08:23,2022-02-18T14:08:23.619996Z,3.439,2.1,3,gmhp7k
1479134694587440896,"karl ranseier, der wohl erfolgloseste schwurbler aller zeiten, ist nach einem schweren verlauf an groner gestorben",0,0,82,2022-02-18 14:08:19,2022-02-18T14:08:19.850917Z,20.475,2.1,3,gmhp7k
1481188237808910080,@TwitterUser ist glaub auch besser so ...,0,0,81,2022-02-18 14:07:58,2022-02-18T14:07:58.371259Z,12.671,2.1,3,gmhp7k
1476563424058523652,"@TwitterUser Ja das werden die nicht tun. Wieso sollten die dagegen stimmen, wenn eine Enthaltung genauso effektiv ist. Alle Landesregierungen mit Unionsbeteiligung werden sich aber enthalten außer Bayern die werden dagegen stimmen. Würde mich auf jeden Fall überraschen wenn es anders läuft.",0,0,80,2022-02-18 14:07:45,2022-02-18T14:07:45.302008Z,32.856,2.1,3,gmhp7k
1462449796896236032,@TwitterUser MSM haben mich nach rechts gedrängt,0,0,79,2022-02-18 14:07:11,2022-02-18T14:07:11.663940Z,43.146,2.1,3,gmhp7k
1477963119033004032,Neues aus der Anstalt,0,0,78,2022-02-18 14:06:28,2022-02-18T14:06:28.161693Z,18.761,2.1,3,gmhp7k
hasoc_de_1730,da kann man gut lachen wenn man sich schön die Taschen füllen kann und  auf seine Themen Scheisst 💩💩  selber fressen macht dick!!+was interessieren mich andere+,0,0,77,2022-02-18 14:06:08,2022-02-18T14:06:08.900145Z,126.23,2.1,3,hasoc_2019
1463185099357396992,Mashalla der geliebte   wie in Anallah etz´allah geschaffen hat. ♥,0,0,76,2022-02-18 14:04:02,2022-02-18T14:04:02.011208Z,33.066,2.1,3,gmhp7k
1123695657523585024,@TwitterUser die ist so dumm,1,0,74,2022-02-18 14:02:01,2022-02-18T14:02:01.380043Z,41.251,2.1,3,gmhp7k
hasoc_de_1484,stärkste Kraft in . 🤢🤮  Links-Grün ist out. Grün-links ist in.  Noch mehr Verbote. Noch weniger Wirtschaft.  Vielen dank ihr Vollpfosten...,1,0,196,2022-02-20 14:19:06,2022-02-23T13:03:00.361683Z,142.144,2.1,0,hasoc_2019
1125450592061665024,@TwitterUser Was für ein dummes widerliches Arschloch,1,0,170,2022-02-20 14:10:36,2022-02-20T14:21:02.581211Z,293.074,2.1,0,gmhp7k
1126076097001677056,Manchen Leuten haben sie echt heftig ins Hirn geschissen (P. H. Allee),0,0,195,2022-02-20 14:18:48,2022-02-20T14:18:48.349390Z,5.113,2.1,0,gmhp7k
1473668644223787008,@TwitterUser Man kann beides nacheinander.,0,0,194,2022-02-20 14:14:27,2022-02-20T14:14:27.054599Z,2.045,2.1,0,gmhp7k
1473996997560614912,@TwitterUser Gibt es Flüge nach Nigeria? 🤔,0,0,193,2022-02-20 14:14:24,2022-02-20T14:14:24.277123Z,5.122,2.1,0,gmhp7k
1472551150134219008,"@TwitterUser Ich finde es auch diskriminierend, dass es keine ""Krankenbrüder"" gibt ✊",0,0,192,2022-02-20 14:14:18,2022-02-20T14:14:18.564972Z,7.709,2.1,0,gmhp7k
1379803982030340096,@TwitterUser Viel Wasser trinken hilft,0,0,190,2022-02-20 14:13:28,2022-02-20T14:13:28.656629Z,1.718,2.1,0,gmhp7k
1480540889055470080,"@TwitterUser sehe ich auch so. wir müssen halt die geostrategien anderer mächte beachten, ob wir es wollen oder nicht und uns in die richtung versuchen abzusichern.",0,0,189,2022-02-20 14:13:26,2022-02-20T14:13:26.104406Z,8.14,2.1,0,gmhp7k
1470832002878299904,"@TwitterUser Ihr benutzt dieses Buch doch als Gebrauchsanweisung. ""Framing Manual"" und so.",0,0,188,2022-02-20 14:13:16,2022-02-20T14:13:16.792722Z,4.804,2.1,0,gmhp7k
1087364685341622016,@TwitterUser Dr. Oetker etzala Dr. Haider?,0,0,187,2022-02-20 14:13:10,2022-02-20T14:13:10.734252Z,2.647,2.1,0,gmhp7k
1476491062558526976,@TwitterUser Wo hast Du das her?,0,0,186,2022-02-20 14:13:07,2022-02-20T14:13:07.259899Z,5.27,2.1,0,gmhp7k
1479135397317950976,"@TwitterUser haha, wäre witzig. mag den yt kanal auch sehr.",0,0,185,2022-02-20 14:13:00,2022-02-20T14:13:00.683564Z,3.648,2.1,0,gmhp7k
1418896300137979904,@TwitterUser Baerziege  trittihn in den Hintern.,1,1,184,2022-02-20 14:12:56,2022-02-20T14:12:56.437139Z,10.571,2.1,0,gmhp7k
1480833043329913088,"@TwitterUser Schön. Der RBB hat gemerkt, dass dieses Thema Klicks bringt. Leider sind die meisten Kommentare unter aller Sau. Das ist natürlich einkalkuliert und dieses Modell ist wenig nachhaltig. Populistischer Dreck.",0,0,183,2022-02-20 14:12:45,2022-02-20T14:12:45.191441Z,6.157,2.1,0,gmhp7k
1473605170537931008,"@TwitterUser Ach so, und das hat man mal eben so ausgewürfelt...",0,0,182,2022-02-20 14:12:37,2022-02-20T14:12:37.964385Z,3.969,2.1,0,gmhp7k
1455280030393769984,@TwitterUser Kohle Kohle Kohle,0,0,181,2022-02-20 14:12:33,2022-02-20T14:12:33.468961Z,8.483,2.1,0,gmhp7k
1473627736237395968,@TwitterUser Vermogen wird bereits jetzt versteuert. Und der Mehrheitswille ist nicht alles.,0,0,179,2022-02-20 14:12:02,2022-02-20T14:12:02.794684Z,5.945,2.1,0,gmhp7k
1432454721697092096,@TwitterUser Wen juckt das. Soll lieber mal einen Arbeitslosigkeitsstreik machen und sich praktische Arbeit suchen.,0,0,178,2022-02-20 14:11:56,2022-02-20T14:11:56.192011Z,19.658,2.1,0,gmhp7k
1121425224677904000,@TwitterUser Dieser scheisz Sexist. Es heißt natürlich Neger*innen*x,1,0,177,2022-02-20 14:11:35,2022-02-20T14:11:35.834029Z,10.617,2.1,0,gmhp7k
1476345619685982212,@TwitterUser trau dich,0,0,176,2022-02-20 14:11:24,2022-02-20T14:11:24.583460Z,2.361,2.1,0,gmhp7k
1477694156415901952,@TwitterUser Das Land der Gender-Studenten weiß das aber nicht 🤷‍♂️,0,0,175,2022-02-20 14:11:21,2022-02-20T14:11:21.430681Z,4.197,2.1,0,gmhp7k
1481199987056857088,"@TwitterUser Leider, Ja leider eine Generation zu spät...",0,0,174,2022-02-20 14:11:16,2022-02-20T14:11:16.374704Z,5.198,2.1,0,gmhp7k
1405794057163582976,@TwitterUser Was hast du bisher für die Gesellschaft geleistet??,0,0,172,2022-02-20 14:10:56,2022-02-20T14:10:56.012379Z,14.834,2.1,0,gmhp7k
1479731027643878912,@TwitterUser Ist es nicht.,0,0,171,2022-02-20 14:10:39,2022-02-20T14:10:39.656815Z,2.443,2.1,0,gmhp7k
1439147859786481920,"@TwitterUser Klar, habe bereits CDU gewählt.",0,0,169,2022-02-20 14:10:29,2022-02-20T14:10:29.463861Z,2.527,2.1,0,gmhp7k
1481245516218383872,@TwitterUser Ja. Das könnte eine echte Marktlücke sein.,0,0,168,2022-02-20 14:10:25,2022-02-20T14:10:25.769803Z,3.534,2.1,0,gmhp7k
1127200387507814016,"@TwitterUser Völlig daneben. Genauso daneben ist im Übrigen, dass der @TwitterUser diese Aussage gefällt.",0,0,167,2022-02-20 14:10:21,2022-02-20T14:10:21.538482Z,7.319,2.1,0,gmhp7k
1454793706582728960,@TwitterUser Dann erstattet doch nur die kosten für ein ÖPNV Ticket. Das wäre doch mal ein Anfang.,0,0,166,2022-02-20 14:10:13,2022-02-20T14:10:13.306093Z,5.217,2.1,0,gmhp7k
1480186957380600064,@TwitterUser Lass Dir doch nicht alles gefallen 😁,0,0,165,2022-02-20 14:10:07,2022-02-20T14:10:07.475498Z,4.29,2.1,0,gmhp7k
1476443576762572801,Bin nedemol traurig wenn die Schlampe au abfahrt,1,1,163,2022-02-20 14:09:13,2022-02-20T14:09:13.232928Z,30.256,2.1,0,gmhp7k
1238216995516101120,"@TwitterUser Diese Schwachsinnsaussage, dass das Coronavirus nur eine leichte Grippe auslösen würde kommt doch von euch selbst:",0,0,162,2022-02-20 14:08:42,2022-02-20T14:08:42.295716Z,13.72,2.1,0,gmhp7k
1332361034489860096,"@TwitterUser Wäre natürlich eine naise Sache, aber ich glaube eher die verziehen sich so schnell wie möglich.",0,0,160,2022-02-20 14:08:21,2022-02-20T14:08:21.893031Z,11.795,2.1,0,gmhp7k
1480126358206530048,@TwitterUser So mutig!,0,0,159,2022-02-20 14:08:08,2022-02-20T14:08:08.907375Z,8.948,2.1,0,gmhp7k
1481239357008880128,@TwitterUser Besser ist das,0,0,158,2022-02-20 14:07:58,2022-02-20T14:07:58.740571Z,4.611,2.1,0,gmhp7k
1229713694273217024,@TwitterUser hätte bestimmt gern Analseks mit dem Lard. Ist dann auch eher so als würde man ein großes wassertier vöge…,1,0,157,2022-02-20 14:07:52,2022-02-20T14:07:52.977221Z,25.023,2.1,0,gmhp7k
1130008856757789056,"@TwitterUser Gar nicht,  unsere Politiker sind nur Macht  - und Geldgierig. Das Deutsche Volk interessiert sie nicht im geringsten.",0,0,156,2022-02-20 14:07:26,2022-02-20T14:07:26.694465Z,17.103,2.1,0,gmhp7k
1480842683157463040,@TwitterUser Eine kindische Aktion.,0,0,154,2022-02-20 14:05:48,2022-02-20T14:07:00.771436Z,598.743,2.1,0,gmhp7k
1473644541219639040,@TwitterUser Stimmt. Die Homo-Ehe gibt es zum Beispiel nur in Kulturen mit dem Christentum als Wurzel.,1,0,155,2022-02-20 14:06:03,2022-02-20T14:06:52.602967Z,590.598,2.1,0,gmhp7k
1479134694587440896,"karl ranseier, der wohl erfolgloseste schwurbler aller zeiten, ist nach einem schweren verlauf an groner gestorben",0,0,153,2022-02-20 14:05:36,2022-02-20T14:05:36.446817Z,121.133,2.1,0,gmhp7k
1481188237808910080,@TwitterUser ist glaub auch besser so ...,0,0,152,2022-02-20 14:03:34,2022-02-20T14:03:34.630346Z,9.969,2.1,0,gmhp7k
1476563424058523652,"@TwitterUser Ja das werden die nicht tun. Wieso sollten die dagegen stimmen, wenn eine Enthaltung genauso effektiv ist. Alle Landesregierungen mit Unionsbeteiligung werden sich aber enthalten außer Bayern die werden dagegen stimmen. Würde mich auf jeden Fall überraschen wenn es anders läuft.",0,0,151,2022-02-20 14:03:15,2022-02-20T14:03:15.524946Z,37.62,2.1,0,gmhp7k
1462449796896236032,@TwitterUser MSM haben mich nach rechts gedrängt,0,0,150,2022-02-20 14:02:36,2022-02-20T14:02:36.979079Z,126.604,2.1,0,gmhp7k
1477963119033004032,Neues aus der Anstalt,0,0,149,2022-02-20 14:00:29,2022-02-20T14:00:29.595302Z,5.319,2.1,0,gmhp7k
hasoc_de_1730,da kann man gut lachen wenn man sich schön die Taschen füllen kann und  auf seine Themen Scheisst 💩💩  selber fressen macht dick!!+was interessieren mich andere+,0,0,148,2022-02-20 14:00:15,2022-02-20T14:00:15.936296Z,30.635,2.1,0,hasoc_2019
1463185099357396992,Mashalla der geliebte   wie in Anallah etz´allah geschaffen hat. ♥,0,0,147,2022-02-20 13:59:24,2022-02-20T13:59:24.719659Z,18.195,2.1,0,gmhp7k
1123695657523585024,@TwitterUser die ist so dumm,0,0,72,2022-02-18 09:32:11,2022-02-20T13:58:45.338282Z,103.291,2.1,0,gmhp7k
1473668644223787008,@TwitterUser Man kann beides nacheinander.,0,0,321,2022-02-23 11:26:42,2022-02-23T11:26:42.711556Z,4.835,2.1,4,gmhp7k
1473996997560614912,@TwitterUser Gibt es Flüge nach Nigeria? 🤔,0,0,320,2022-02-23 11:26:37,2022-02-23T11:26:37.240394Z,1317.999,2.1,4,gmhp7k
1472551150134219008,"@TwitterUser Ich finde es auch diskriminierend, dass es keine ""Krankenbrüder"" gibt ✊",0,0,319,2022-02-23 11:04:38,2022-02-23T11:04:38.481267Z,12.583,2.1,4,gmhp7k
hasoc_de_1484,stärkste Kraft in . 🤢🤮  Links-Grün ist out. Grün-links ist in.  Noch mehr Verbote. Noch weniger Wirtschaft.  Vielen dank ihr Vollpfosten...,1,0,318,2022-02-23 11:04:25,2022-02-23T11:04:25.307643Z,11.547,2.1,4,hasoc_2019
1379803982030340096,@TwitterUser Viel Wasser trinken hilft,0,0,317,2022-02-23 11:04:13,2022-02-23T11:04:13.241709Z,2.414,2.1,4,gmhp7k
1480540889055470080,"@TwitterUser sehe ich auch so. wir müssen halt die geostrategien anderer mächte beachten, ob wir es wollen oder nicht und uns in die richtung versuchen abzusichern.",0,0,316,2022-02-23 11:04:10,2022-02-23T11:04:10.347718Z,17.805,2.1,4,gmhp7k
1470832002878299904,"@TwitterUser Ihr benutzt dieses Buch doch als Gebrauchsanweisung. ""Framing Manual"" und so.",0,0,315,2022-02-23 11:03:51,2022-02-23T11:03:51.967891Z,11.623,2.1,4,gmhp7k
1087364685341622016,@TwitterUser Dr. Oetker etzala Dr. Haider?,0,0,314,2022-02-23 11:03:39,2022-02-23T11:03:39.775317Z,7.034,2.1,4,gmhp7k
1476491062558526976,@TwitterUser Wo hast Du das her?,0,0,313,2022-02-23 11:03:32,2022-02-23T11:03:32.147099Z,2.807,2.1,4,gmhp7k
1479135397317950976,"@TwitterUser haha, wäre witzig. mag den yt kanal auch sehr.",0,0,312,2022-02-23 11:03:28,2022-02-23T11:03:28.785867Z,5.147,2.1,4,gmhp7k
1418896300137979904,@TwitterUser Baerziege  trittihn in den Hintern.,1,1,311,2022-02-23 11:03:23,2022-02-23T11:03:23.016683Z,12.906,2.1,4,gmhp7k
1480833043329913088,"@TwitterUser Schön. Der RBB hat gemerkt, dass dieses Thema Klicks bringt. Leider sind die meisten Kommentare unter aller Sau. Das ist natürlich einkalkuliert und dieses Modell ist wenig nachhaltig. Populistischer Dreck.",1,0,310,2022-02-23 11:03:09,2022-02-23T11:03:09.492337Z,16.241,2.1,4,gmhp7k
1473605170537931008,"@TwitterUser Ach so, und das hat man mal eben so ausgewürfelt...",0,0,309,2022-02-23 11:02:52,2022-02-23T11:02:52.595545Z,7.464,2.1,4,gmhp7k
1455280030393769984,@TwitterUser Kohle Kohle Kohle,0,0,308,2022-02-23 11:02:44,2022-02-23T11:02:44.451767Z,10.557,2.1,4,gmhp7k
1473627736237395968,@TwitterUser Vermogen wird bereits jetzt versteuert. Und der Mehrheitswille ist nicht alles.,0,0,306,2022-02-23 11:02:23,2022-02-23T11:02:23.160406Z,92.026,2.1,4,gmhp7k
1432454721697092096,@TwitterUser Wen juckt das. Soll lieber mal einen Arbeitslosigkeitsstreik machen und sich praktische Arbeit suchen.,0,0,305,2022-02-23 11:00:49,2022-02-23T11:00:49.968560Z,32.49,2.1,4,gmhp7k
1121425224677904000,@TwitterUser Dieser scheisz Sexist. Es heißt natürlich Neger*innen*x,1,1,304,2022-02-23 11:00:16,2022-02-23T11:00:16.909360Z,14.737,2.1,4,gmhp7k
1476345619685982212,@TwitterUser trau dich,0,0,303,2022-02-23 11:00:01,2022-02-23T11:00:01.527171Z,289.369,2.1,4,gmhp7k
1477694156415901952,@TwitterUser Das Land der Gender-Studenten weiß das aber nicht 🤷‍♂️,0,0,302,2022-02-23 10:55:11,2022-02-23T10:55:11.386342Z,13.231,2.1,4,gmhp7k
1481199987056857088,"@TwitterUser Leider, Ja leider eine Generation zu spät...",0,0,301,2022-02-23 10:54:57,2022-02-23T10:54:57.589031Z,8.887,2.1,4,gmhp7k
1126076097001677056,Manchen Leuten haben sie echt heftig ins Hirn geschissen (P. H. Allee),1,0,300,2022-02-23 10:54:47,2022-02-23T10:54:47.997285Z,7.916,2.1,4,gmhp7k
1405794057163582976,@TwitterUser Was hast du bisher für die Gesellschaft geleistet??,0,0,299,2022-02-23 10:54:39,2022-02-23T10:54:39.261348Z,6.406,2.1,4,gmhp7k
1479731027643878912,@TwitterUser Ist es nicht.,0,0,298,2022-02-23 10:54:32,2022-02-23T10:54:32.074704Z,4.951,2.1,4,gmhp7k
1125450592061665024,@TwitterUser Was für ein dummes widerliches Arschloch,1,0,297,2022-02-23 10:54:26,2022-02-23T10:54:26.305534Z,9.243,2.1,4,gmhp7k
1439147859786481920,"@TwitterUser Klar, habe bereits CDU gewählt.",0,0,296,2022-02-23 10:54:15,2022-02-23T10:54:15.814634Z,4.766,2.1,4,gmhp7k
1481245516218383872,@TwitterUser Ja. Das könnte eine echte Marktlücke sein.,0,0,295,2022-02-23 10:54:10,2022-02-23T10:54:10.244823Z,5.647,2.1,4,gmhp7k
1127200387507814016,"@TwitterUser Völlig daneben. Genauso daneben ist im Übrigen, dass der @TwitterUser diese Aussage gefällt.",0,0,294,2022-02-23 10:54:03,2022-02-23T10:54:03.474453Z,17.736,2.1,4,gmhp7k
