system,label,f1,f1_ci_lo,f1_ci_hi,s_score,s_score_ci_lo,s_score_ci_hi,n_positives,n_total
BERT (tuned thresholds),hate_speech,0.4450175323644398,0.42743444689596216,0.46164580524539,0.6349903663554219,0.620671088143735,0.6480537922454934,1422.0,13250.0
BERT (tuned thresholds),toxic,0.13300694934133137,0.12419659341823097,0.14127058098244635,0.4010015546148703,0.39050286839806886,0.41062458819958925,819.0,13250.0
BERT (tuned thresholds),threat,0.10107316632109968,0.03277366472765734,0.17221150336340404,0.370406759334276,0.2915350518705117,0.4453701952342164,21.0,13250.0
BERT (tuned thresholds),insult,0.3201292591669659,0.3048871422039578,0.33526030194951606,0.5626793972347971,0.549707320836805,0.5758829968134703,1296.0,13250.0
BERT (tuned thresholds),MACRO,0.249740165055886,0.23193955710429062,0.2677920303410392,0.49233038577104815,0.4720709928255922,0.5118338736030229,,
LLM only (Gemini Flash),hate_speech,0.37892823126969505,0.3544594643047376,0.4017302013064579,0.5036739879787782,0.4854045779156558,0.5211719758416424,1422.0,13250.0
LLM only (Gemini Flash),toxic,0.1597753030552395,0.14829535454829157,0.1710240635089839,0.4274770183196955,0.4148969031226441,0.44062426491458345,819.0,13250.0
LLM only (Gemini Flash),threat,0.0746065483427152,0.03447393197599154,0.11888111888111888,0.3586874154964095,0.30305764565453325,0.41569849833954503,21.0,13250.0
LLM only (Gemini Flash),insult,0.33390007336184074,0.3188728573394624,0.34979163601243934,0.5554191561497567,0.5417010879283439,0.5687547511326382,1296.0,13250.0
LLM only (Gemini Flash),MACRO,0.2365540364820843,0.2227990496143433,0.2498540855048307,0.46099020940966406,0.44430963057075396,0.4764931452919745,,
Hybrid: Average,hate_speech,0.38515980173138814,0.35958486624890507,0.4086119594763482,0.5078712178295884,0.4889188718348986,0.5257479720614779,1422.0,13250.0
Hybrid: Average,toxic,0.16317276451359988,0.15144242533172672,0.17456660820455122,0.43199229093475955,0.4195205419506813,0.4454952877552486,819.0,13250.0
Hybrid: Average,threat,0.09002004985573303,0.046679137982639944,0.13846715328467155,0.3811577433104119,0.3233971002588549,0.44031541858502193,21.0,13250.0
Hybrid: Average,insult,0.3457735603690613,0.32975710042499856,0.36140824880654543,0.5618677361322932,0.5479180099814435,0.575800103974619,1296.0,13250.0
Hybrid: Average,MACRO,0.24593470835548498,0.23086474222368064,0.26080060692678597,0.47060630431627476,0.45338038317573176,0.48737688011292707,,
Hybrid: Confidence-gated,hate_speech,0.4847680245311635,0.46482509357337504,0.5042424023792387,0.6318241015476538,0.615506547728134,0.6476449181066367,1422.0,13250.0
Hybrid: Confidence-gated,toxic,0.1548514354237585,0.1439166776265118,0.16554666888540864,0.424056307843258,0.41234803970771744,0.4365553202301623,819.0,13250.0
Hybrid: Confidence-gated,threat,0.07346769752484568,0.03668616092463761,0.11215644528009733,0.3627530700662812,0.3103153142752633,0.4127452872467107,21.0,13250.0
Hybrid: Confidence-gated,insult,0.3498225820687976,0.3336494692694052,0.36636689303781494,0.5748105789738706,0.5605166963801981,0.5889160076412574,1296.0,13250.0
Hybrid: Confidence-gated,MACRO,0.265519188070181,0.2535190726003814,0.2772120166454849,0.49809475661625585,0.4830299092264979,0.5130850017383305,,
Hybrid: Union,hate_speech,0.43563242901002625,0.4195329567333732,0.4517638091679519,0.6469208147242308,0.6346929844853507,0.6591622839860297,1422.0,13250.0
Hybrid: Union,toxic,0.148235372971971,0.1385307890151727,0.15734098224705542,0.4247895518824205,0.4141665201713456,0.43471288529118757,819.0,13250.0
Hybrid: Union,threat,0.04497217550686621,0.025673940949935817,0.06659379200101795,0.3356296000016831,0.305818461114572,0.3675368352926444,21.0,13250.0
Hybrid: Union,insult,0.31730642937341685,0.3032847426502455,0.3312935532966634,0.5722352317942689,0.5605072087560896,0.5844324376400456,1296.0,13250.0
Hybrid: Union,MACRO,0.23629092093773077,0.22870959220311396,0.24382392447567092,0.4944904677347946,0.48487895122433106,0.5037578749274658,,
Hybrid: Intersection,hate_speech,0.36627084119560505,0.34110442921940987,0.39128990990335527,0.48927241932022064,0.4708847393580663,0.5074680825598552,1422.0,13250.0
Hybrid: Intersection,toxic,0.16264995663429677,0.15027118141265955,0.1752993688971675,0.4232704596878757,0.4098241549094097,0.4378545589815338,819.0,13250.0
Hybrid: Intersection,threat,0.07154452959518014,0.015037593984962405,0.12767321331151116,0.33506228177231706,0.2686702922339005,0.40172535378559887,21.0,13250.0
Hybrid: Intersection,insult,0.35296875753680984,0.33548347370093756,0.3711801300577836,0.5475366175087965,0.5323909548959886,0.5635945115546209,1296.0,13250.0
Hybrid: Intersection,MACRO,0.23824541119620007,0.22065179096653822,0.25582396394316786,0.44866282463445056,0.4297062520079904,0.4664797622503025,,
